direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
short,london,2025-05-12T09:30:00+00:00,3220.74,3232.1,3220.74,4.50143,3227.49214,3207.23571,2025-05-12T11:55:00+00:00,3227.49214,sl,29,-67.52,-71.72,False,down,True,50.0,normal,0.0,narrow,False
short,ny,2025-05-12T16:10:00+00:00,3240.12,3247.76,3240.12,3.91214,3245.98821,3228.38357,2025-05-12T16:20:00+00:00,3228.38357,tp,2,117.36,113.16,False,down,True,50.0,normal,0.0,narrow,False
short,london,2025-05-13T09:35:00+00:00,3257.49,3261.14,3257.49,2.42,3261.12,3250.23,2025-05-13T11:55:00+00:00,3250.23,tp,28,72.6,68.4,False,down,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-13T14:45:00+00:00,3248.09,3248.09,3239.27,4.97857,3240.62214,3263.02571,2025-05-13T20:45:00+00:00,3251.33,time,72,32.4,28.2,False,up,True,50.0,normal,0.0,narrow,True
short,london,2025-05-14T08:45:00+00:00,3235.47,3243.59,3235.47,3.69643,3241.01464,3224.38071,2025-05-14T11:55:00+00:00,3224.38071,tp,38,110.89,106.69,False,down,True,50.0,normal,0.0,narrow,True
short,ny,2025-05-14T15:00:00+00:00,3180.45,3186.06,3180.45,5.53286,3188.74929,3163.85143,2025-05-14T16:50:00+00:00,3188.74929,sl,22,-82.99,-87.19,False,up,False,50.0,normal,0.0,narrow,False
long,london,2025-05-15T08:20:00+00:00,3151.41,3151.41,3139.23,4.92357,3144.02464,3166.18071,2025-05-15T09:10:00+00:00,3166.18071,tp,10,147.71,143.51,False,up,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-15T15:00:00+00:00,3206.05,3206.05,3197.88,4.74571,3198.93143,3220.28714,2025-05-15T16:15:00+00:00,3220.28714,tp,15,142.37,138.17,False,down,False,50.0,normal,0.0,narrow,False
short,london,2025-05-16T08:15:00+00:00,3197.11,3208.63,3197.11,4.165,3203.3575,3184.615,2025-05-16T08:25:00+00:00,3203.3575,sl,2,-62.47,-66.67,False,down,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-16T15:45:00+00:00,3177.65,3177.65,3166.26,4.03357,3171.59964,3189.75071,2025-05-16T17:05:00+00:00,3189.75071,tp,16,121.01,116.81,False,down,False,50.0,normal,0.0,narrow,False
long,london,2025-05-19T08:15:00+00:00,3235.84,3235.84,3230.08,3.20286,3231.03571,3245.44857,2025-05-19T09:00:00+00:00,3245.44857,tp,9,96.09,91.89,False,up,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-19T15:05:00+00:00,3236.1,3236.1,3227.79,4.82143,3228.86786,3250.56429,2025-05-19T16:05:00+00:00,3228.86786,sl,12,-72.32,-76.52,False,down,False,50.0,normal,0.0,narrow,False
long,london,2025-05-20T08:30:00+00:00,3224.37,3224.37,3219.28,3.15857,3219.63214,3233.84571,2025-05-20T08:55:00+00:00,3233.84571,tp,5,94.76,90.56,False,down,False,50.0,normal,0.0,narrow,False
long,london,2025-05-21T09:05:00+00:00,3310.84,3310.84,3303.97,2.67286,3306.83071,3318.85857,2025-05-21T11:40:00+00:00,3306.83071,sl,31,-40.09,-44.29,False,down,False,50.0,normal,0.0,narrow,False
long,ny,2025-05-21T15:00:00+00:00,3306.29,3306.29,3301.84,4.195,3299.9975,3318.875,2025-05-21T19:05:00+00:00,3318.875,tp,49,125.85,121.65,False,down,False,50.0,normal,0.0,narrow,False
short,london,2025-05-22T08:15:00+00:00,3325.54,3329.91,3325.54,3.09786,3330.18679,3316.24643,2025-05-22T08:30:00+00:00,3316.24643,tp,3,92.94,88.74,False,down,True,50.0,normal,0.0,narrow,False
short,ny,2025-05-22T15:00:00+00:00,3295.45,3302.98,3295.45,6.04143,3304.51214,3277.32571,2025-05-22T16:40:00+00:00,3304.51214,sl,20,-90.62,-94.82,False,up,False,50.0,normal,0.0,narrow,False
long,london,2025-05-23T08:15:00+00:00,3329.37,3329.37,3325.56,2.53714,3325.56429,3336.98143,2025-05-23T08:20:00+00:00,3325.56429,sl,1,-38.06,-42.26,False,up,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-23T14:50:00+00:00,3354.64,3354.64,3348.38,5.31357,3346.66964,3370.58071,2025-05-23T20:50:00+00:00,3359.87,time,72,52.3,48.1,False,up,True,50.0,normal,0.0,narrow,False
short,london,2025-05-26T08:40:00+00:00,3332.82,3339.67,3332.82,2.89357,3337.16036,3324.13929,2025-05-26T09:25:00+00:00,3324.13929,tp,9,86.81,82.61,False,down,True,50.0,normal,0.083,narrow,False
long,ny,2025-05-26T15:35:00+00:00,3339.64,3339.64,3335.73,1.75786,3337.00321,3344.91357,2025-05-26T22:00:00+00:00,3344.91357,tp,31,52.74,48.54,False,up,True,50.0,normal,0.047,narrow,False
short,london,2025-05-27T09:30:00+00:00,3296.18,3310.4,3296.18,4.45571,3302.86357,3282.81286,2025-05-27T13:30:00+00:00,3302.86357,sl,48,-66.84,-71.04,False,up,False,50.0,normal,0.184,narrow,False
long,ny,2025-05-27T14:45:00+00:00,3300.49,3300.49,3295.58,4.02786,3294.44821,3312.57357,2025-05-27T15:30:00+00:00,3294.44821,sl,9,-60.42,-64.62,False,up,True,50.0,normal,0.064,narrow,True
long,london,2025-05-28T09:45:00+00:00,3323.89,3323.89,3317.43,2.37143,3320.33286,3331.00429,2025-05-28T10:10:00+00:00,3320.33286,sl,5,-35.57,-39.77,False,up,True,50.0,normal,0.082,narrow,False
short,ny,2025-05-28T14:45:00+00:00,3301.59,3308.41,3301.59,3.95357,3307.52036,3289.72929,2025-05-28T16:45:00+00:00,3289.72929,tp,24,118.61,114.41,False,down,True,50.0,normal,0.087,narrow,False
long,london,2025-05-29T10:15:00+00:00,3289.39,3289.39,3283.71,2.83,3285.145,3297.88,2025-05-29T10:25:00+00:00,3297.88,tp,2,84.9,80.7,False,down,False,50.0,normal,0.076,narrow,False
long,ny,2025-05-29T14:45:00+00:00,3312.47,3312.47,3304.8,4.85071,3305.19393,3327.02214,2025-05-29T16:05:00+00:00,3327.02214,tp,16,145.52,141.32,False,down,False,50.0,normal,0.102,narrow,False
long,london,2025-05-30T10:05:00+00:00,3299.28,3299.28,3291.62,2.18929,3295.99607,3305.84786,2025-05-30T10:25:00+00:00,3295.99607,sl,4,-32.84,-37.04,False,up,True,50.0,normal,0.101,narrow,False
long,ny,2025-05-30T15:40:00+00:00,3285.17,3285.17,3273.41,4.38643,3278.59036,3298.32929,2025-06-01T22:00:00+00:00,3298.32929,tp,64,131.59,127.39,False,down,False,50.0,normal,0.155,narrow,False
long,london,2025-06-02T11:30:00+00:00,3356.39,3356.39,3350.62,2.90714,3352.02929,3365.11143,2025-06-02T13:30:00+00:00,3352.02929,sl,24,-43.61,-47.81,False,up,True,0.0,compression,0.081,narrow,False
long,ny,2025-06-02T14:45:00+00:00,3377.92,3377.92,3372.15,5.34786,3369.89821,3393.96357,2025-06-02T16:40:00+00:00,3369.89821,sl,23,-80.22,-84.42,False,up,True,0.0,compression,0.081,narrow,False
short,london,2025-06-03T09:05:00+00:00,3359.67,3364.9,3359.67,2.19786,3362.96679,3353.07643,2025-06-03T12:05:00+00:00,3353.07643,tp,36,65.94,61.74,False,up,False,33.3,normal,0.07,narrow,False
short,ny,2025-06-03T14:50:00+00:00,3345.21,3350.17,3345.21,5.00571,3352.71857,3330.19286,2025-06-03T16:10:00+00:00,3352.71857,sl,16,-75.09,-79.29,False,up,False,33.3,normal,0.066,narrow,False
long,london,2025-06-04T08:45:00+00:00,3357.29,3357.29,3351.7,2.54071,3353.47893,3364.91214,2025-06-04T09:25:00+00:00,3364.91214,tp,8,76.22,72.02,False,up,True,14.3,compression,0.077,narrow,False
