direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
short,london,2025-05-12T09:35:00+00:00,3220.28,3232.1,3220.74,4.40643,3226.88964,3207.06071,2025-05-12T11:50:00+00:00,3226.88964,sl,27,-66.1,-70.3,False,down,True,50.0,normal,0.0,narrow,False
short,ny,2025-05-12T16:10:00+00:00,3231.61,3247.76,3240.12,3.91214,3237.47821,3219.87357,2025-05-12T19:25:00+00:00,3237.47821,sl,39,-58.68,-62.88,False,down,True,50.0,normal,0.0,narrow,False
short,london,2025-05-13T09:35:00+00:00,3252.18,3261.14,3257.49,2.42,3255.81,3244.92,2025-05-13T10:20:00+00:00,3255.81,sl,9,-36.3,-40.5,False,down,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-13T14:45:00+00:00,3248.69,3248.09,3239.27,4.97857,3241.22214,3263.62571,2025-05-13T20:45:00+00:00,3251.33,time,72,26.4,22.2,False,up,True,50.0,normal,0.0,narrow,False
short,london,2025-05-14T08:45:00+00:00,3233.52,3243.59,3235.47,3.69643,3239.06464,3222.43071,2025-05-14T11:25:00+00:00,3239.06464,sl,32,-55.45,-59.65,False,down,True,50.0,normal,0.0,narrow,False
short,ny,2025-05-14T15:00:00+00:00,3180.27,3186.06,3180.45,5.53286,3188.56929,3163.67143,2025-05-14T16:50:00+00:00,3188.56929,sl,22,-82.99,-87.19,False,up,False,50.0,normal,0.0,narrow,False
long,london,2025-05-15T08:25:00+00:00,3151.48,3151.41,3139.23,4.83571,3144.22643,3165.98714,2025-05-15T09:10:00+00:00,3165.98714,tp,9,145.07,140.87,False,up,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-15T15:00:00+00:00,3206.3,3206.05,3197.88,4.74571,3199.18143,3220.53714,2025-05-15T16:15:00+00:00,3220.53714,tp,15,142.37,138.17,False,down,False,50.0,normal,0.0,narrow,False
short,london,2025-05-16T10:40:00+00:00,3196.2,3208.63,3197.11,3.72071,3201.78107,3185.03786,2025-05-16T10:50:00+00:00,3185.03786,tp,2,111.62,107.42,False,down,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-16T15:45:00+00:00,3183.99,3177.65,3166.26,4.03357,3177.93964,3196.09071,2025-05-16T20:00:00+00:00,3196.09071,tp,51,121.01,116.81,False,down,False,50.0,normal,0.0,narrow,False
